"","Cities","Pages","Address"
"1","Airolo","https://global.flixbus.com/bus/airolo","Via Fontana, 6780 Airolo, Switzerland"
"2","Baden","https://global.flixbus.com/bus/baden","Brown Boveri Str. 16-20, 5400 Baden, Switzerland"
"3","Basel","https://global.flixbus.com/bus/basel-weil-am-rhein","Meret Oppenheim-Strasse, 4053 Basel, Switzerland"
"4","Basel EuroAirport (CH)","https://global.flixbus.com/bus/basel-euroairport-ch","Flughafen Basel-Mulhouse, 4030 Basel EuroAirport (CH), Switzerland"
"5","Bellinzona","https://global.flixbus.com/bus/bellinzona","Via Stazione, 6532 Bellinzona, Switzerland"
"6","Bern","https://global.flixbus.com/bus/bern","Studerstrasse, 3012 Bern, Switzerland"
"7","Biasca","https://global.flixbus.com/bus/biasca","Via Generale Guisan 2, 6710 Biasca, Switzerland"
"8","Biel","https://global.flixbus.com/bus/biel","Stadien/Stades, 2504 Biel, Switzerland"
"9","Chur","https://global.flixbus.com/bus/chur","Gürtelstrasse 14, 7000 Chur, Switzerland"
"10","Flüelen","https://global.flixbus.com/bus/fluelen","Bahnhofstrasse, 6454 Flüelen, Switzerland"
"11","Fribourg (Suisse)","https://global.flixbus.com/bus/fribourg","Chemin Saint-Léonard, 1700 Fribourg (Suisse), Switzerland"
"12","Fribourg (Suisse)","https://global.flixbus.com/bus/fribourg","Rue Louis-d'Affry 2, 1700 Fribourg (Suisse), Switzerland"
"13","Füllinsdorf","https://global.flixbus.com/bus/fullinsdorf","Rheinstrasse 2, 4414 Füllinsdorf, Switzerland"
"14","Geneva","https://global.flixbus.com/bus/geneva","Place Dorcière, 1201 Geneva, Switzerland"
"15","Geneva","https://global.flixbus.com/bus/geneva","Place Martin Luther King, 74100 Geneva, Switzerland"
"16","Geneva Airport","https://global.flixbus.com/bus/geneva-airport","Route de l'aéroport, 1215 Geneva Airport, Switzerland"
"17","Göschenen","https://global.flixbus.com/bus/goschenen","Bahnhofplatz, 6487 Göschenen, Switzerland"
"18","Grindelwald","https://global.flixbus.com/bus/grindelwald","Endweg, 3818 Grindelwald, Switzerland"
"19","Interlaken","https://global.flixbus.com/bus/interlaken","Rugenparkstrasse, 3800 Interlaken, Switzerland"
"20","Landquart","https://global.flixbus.com/bus/landquart","Tardisstrasse 20, 7205 Landquart, Switzerland"
"21","Lausanne","https://global.flixbus.com/bus/lausanne","Route des Plaines-du-Loup, 1018 Lausanne, Switzerland"
"22","Lugano","https://global.flixbus.com/bus/lugano","Via Giacomo E Filippo Ciani, 6900 Lugano, Switzerland"
"23","Luzern","https://global.flixbus.com/bus/lucerne","Inseliquai, 6005 Luzern, Switzerland"
"24","Martigny","https://global.flixbus.com/bus/martigny","Rue d'Aoste, 1920 Martigny, Switzerland"
"25","Montreux","https://global.flixbus.com/bus/montreux","Chailly P+R, 1816 Montreux, Switzerland"
"26","Neuchâtel (Switzerland)","https://global.flixbus.com/bus/neuchatel-switzerland","Rue des Beaux-Arts 2, 2000 Neuchâtel (Switzerland), Switzerland"
"27","Nyon","https://global.flixbus.com/bus/nyon","Impasse de Champ-Colin 12, 1260 Nyon, Switzerland"
"28","Olten","https://global.flixbus.com/bus/olten","Gösgerstrasse, 4600 Olten, Switzerland"
"29","Schaffhausen","https://global.flixbus.com/bus/schaffhausen","Spitalstrasse 5, Landhaus, 8200 Schaffhausen, Switzerland"
"30","Sion","https://global.flixbus.com/bus/sion","Rue de la Traversiere 2, 1950 Sion, Switzerland"
"31","Solothurn","https://global.flixbus.com/bus/solothurn","Zuchwilerstrasse 33, 4500 Solothurn, Switzerland"
"32","Splügen","https://global.flixbus.com/bus/splugen","Italienische Strasse 44, 7435 Splügen, Switzerland"
"33","St. Gallen","https://global.flixbus.com/bus/st-gallen","Lagerstrasse 10, 9000 St. Gallen, Switzerland"
"34","Stans","https://global.flixbus.com/bus/stans","Bluemattstrasse 1, 6370 Stans, Switzerland"
"35","Sursee","https://global.flixbus.com/bus/sursee","Surentalstrasse, 6210 Sursee, Switzerland"
"36","Thun","https://global.flixbus.com/bus/thun","Talackerstrasse 62, 3604 Thun, Switzerland"
"37","Vevey","https://global.flixbus.com/bus/vevey","Avenue Reller, 1800 Vevey, Switzerland"
"38","Winterthur","https://global.flixbus.com/bus/winterthur","Lagerhausstrasse 18, 8400 Winterthur, Switzerland"
"39","Yverdon les Bains","https://global.flixbus.com/bus/yverdon-les-bains","Avenue de la Gare, 1400 Yverdon les Bains, Switzerland"
"40","Zurich","https://global.flixbus.com/bus/zurich","Ausstellungsstrasse 5, 8005 Zurich, Switzerland"
"41","Zurich Airport","https://global.flixbus.com/bus/zurich-airport","Flughafenstrasse (Bus station), 8302 Zurich Airport, Switzerland"
